"id","content_type","title","description","deeplink_url","duration","provider_name","cpe_subject","channels","image_url"
"1001","COURSE","Communication Skills: Be One-on-One Ready / Techniques de communication : Soyez prêt pour vos rencontres individuelles","For individual contributors only.

Enhance your communication skills with Be One-on-One Ready workshop

Designed to complement our new Performance and Development Program, this interactive one-day workshop will give you the confidence and know-how to have meaningful performance conversations with your leader

Learning Objectives:

This highly interactive program will provide you with the opportunity to discover how to:
• Increase your self-awareness about your strengths and passions at work
• Leverage the Bank’s Core Competencies to build your performance success
• Enhance your communication skills to fully engage in performance and development discussions with your leader
• Explore how to more concretely build trust with your leader
• Structure a meaningful performance conversation with your leader
• Enhance your professional development plan
• Boost your level of engagement at work","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d1001%26componentTypeID%3dCOURSE%26revisionDate%3d1491578325000%26fromSF%3dY&company=bankofcana","21600","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"14001","COURSE","Contributing to Change (Core Competency) / Notre part de progrès (Compétences clés)","Because change is inevitable, taking an active role in it is critical – for your success and the success of the organization. Successful participation in the change process depends on agile development and your ability to be future oriented, seize external opportunities and bounce back from unforeseen changes.
In this interactive session you will learn how to participate in change initiatives while understanding and managing your own responses to change. As a result of participating in this session, you will be well equipped to manage your responses to sudden and ongoing change, enabling optimal productivity and maximum benefits in your work environment.


HOW YOU WILL BENEFIT:
- Embrace or reconcile the reality of change, address and decrease anxiety,
and concentrate on productivity and results
- Establish your profile within your organization as one that can manage
change and demonstrates agility and resilience
- Set a positive example for colleagues or direct reports when handling
significant changes in the workplace","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d14001%26componentTypeID%3dCOURSE%26revisionDate%3d1511192431000%26fromSF%3dY&company=bankofcana","12600","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"14002","COURSE","Effective Communication Skills (Core Competency) / Aptitudes efficaces de communication (Compétences clés)","Gain recognition, build stronger work relationships and deliver high-value results!
Effective communication is demonstrated through taking the responsibility to communicate new ideas, innovations and better ways to get the work accomplished. This ability is especially crucial during times of economic uncertainty, where responsibilities can change unexpectedly and fresh ideas and input are essential at all organizational levels.
This program offers practical and adaptive strategies for communicating your message to a variety of audiences - to inform and influence others no matter where they fit in the organizational chart.


LEARNING OBJECTIVES
• Acquire behaviours and techniques that demonstrate a strong sense of self-confidence
with your peers, direct reports and manager
• Develop techniques to analyse audiences and situations appropriately
• Create processes to frame your message to specific audiences
• Apply strategies to influence and motivate others","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d14002%26componentTypeID%3dCOURSE%26revisionDate%3d1511193241000%26fromSF%3dY&company=bankofcana","25200","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"25001","COURSE","Security Awareness | Sensibilisation à la sécurité","This module explains the Corporate Security Policy, and describes security responsibilities, including what we must do to comply. Estimated completion time: 18 minutes. 

*****

Ce module présente la Politique de sécurité de la Banque et explique les responsabilités en matière de sécurité, y compris ce que nous devons faire pour nous y conformer. Durée approximative de la formation : 18 minutes.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d25001%26componentTypeID%3dCOURSE%26revisionDate%3d1635530400000%26fromSF%3dY&company=bankofcana","","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"30002","COURSE","Problem Solving with an Innovative Mindset (Core Competency) / Régler les problèmes grâce à un esprit novateur (Compétences clés)","Problem Solving with an Innovative Mindset

In this 1-day interactive workshop, you will learn how to contribute to continuous improvement at the Bank and build your toolkit to challenge the status quo constructively.


	Learn to identify the strengths and opportunities of your current innovation mindset.
	Understand how to innovate within the Bank’s risk appetite.
	Use a gap analysis to define the current state versus the desired state.
	Apply tools to assess the situation accurately and set clear goals.
	Find out about techniques for creatively generating ideas and solutions.
	Use tools to select which ideas and solutions merit your attention.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d30002%26componentTypeID%3dCOURSE%26revisionDate%3d1528222928000%26fromSF%3dY&company=bankofcana","12600","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31001","COURSE","Emerging Leaders’ Assessment Workshop / Atelier sur le niveau de préparation des leaders en devenir","This 2-day virtual program is intended for those that have an interest in developing towards a leadership role at the Bank.  The workshop includes a leadership readiness assessment; an overview of what it means to be a leader at the Bank; and tips on how to develop the necessary skills.

Following the workshop, participants will be encouraged to discuss the outcome of the session with their leader and may be selected to attend the Bank’s 3-day Emerging Leaders’ Development Program.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31001%26componentTypeID%3dCOURSE%26revisionDate%3d1538749542000%26fromSF%3dY&company=bankofcana","16200","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31003","COURSE","Emerging Leader Development Program / Le Programme de perfectionnement des leaders en devenir","The Emerging Leader Development Program is a set of foundational courses that provide individuals with a powerful set of interaction skills that enables them to communicate more effectively, build trust, strengthen partnerships, and achieve results.

Through this program you will learn about the challenges new leaders face and ways to effectively manage them. The program explores subjects like dealing with conflict, making decisions, strategies for influencing others, and networking. A comprehensive development plan will be created based on an assessment of leadership potential and discussions during the training.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31003%26componentTypeID%3dCOURSE%26revisionDate%3d1539277905000%26fromSF%3dY&company=bankofcana","54000","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31004","COURSE","Take Action: Be a Self-Starter (Core Competency) / Passez à l’action : soyez une personne pleine d’initiative (Compétences clés)","This workshop will help you gauge which Self-Starter behaviours are strengths for you, and which you need to develop. You will be introduced to concepts, insights, tools and tips to understand what Self-Starter means in your role, and how to demonstrate those behaviours more effectively and consistently.

HOW YOU WILL BENEFIT:

• Be valued as someone who takes initiative to make things happen

• Reduce your frustration by focusing on what’s within your control

• Overcome mental barriers to personal accountability

YOU WILL LEARN TO:

• Understand what a self-starter is and how it relates to your role

• Understand personal accountability: what it is, what it looks like, where are your gaps & strengths

• Improve your capacity to identify the optimal actions you can take in a situation

• Understand how to prioritize, plan & manage to achieve results while considering the bigger picture

• Increase your ability to be resilient in the face of challenges","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31004%26componentTypeID%3dCOURSE%26revisionDate%3d1539802193000%26fromSF%3dY&company=bankofcana","12600","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31005","COURSE","Be A Team Player (Core Competency) / Soyez un joueur d’équipe (Compétences clés)","This workshop will help you assess your current Team Player strengths and gaps. You will explore concepts and practice skills that will help you thrive, while at the same time helping your colleagues thrive. You will be equipped with tools to build trusting and collaborative relationships that produce results.

YOU WILL LEARN TO:

• Understand what being a Team Player at the Bank is and what it isn’t
• Assess your impact as a Team Player
• Learn to become a more complete Team Player
• Understand how individual styles impact communication and team dynamics
• Build more trusting relationships
• Learn about different approaches to conflict
• Identify how you can be a more effective Team Player within and beyond your team","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31005%26componentTypeID%3dCOURSE%26revisionDate%3d1539948860000%26fromSF%3dY&company=bankofcana","25200","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31006","COURSE","CFP Course 1: Currency's Role within the Bank of Canada / PFM Formation 1: Le rôle de la monnaie au sein de la Banque du Canada","Currency Foundations Program Course 1. We ensure Canadians have access to adequate supplies of secure bank notes they can use with confidence and pride. We do this through research, education, compliance and quality and operations.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31006%26componentTypeID%3dCOURSE%26revisionDate%3d1542116031000%26fromSF%3dY&company=bankofcana","3600","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31008","COURSE","CFP Course 2:  Bank Note Development, Design and Origination / PFM Formation 2:  Conception et production des billets de banque","Currency Foundations Program Course 2. Significant research, artistry and technical expertise goes into designing and printing Canada’s bank notes. Currency Department teams contribute to every step of the process.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31008%26componentTypeID%3dCOURSE%26revisionDate%3d1542131152000%26fromSF%3dY&company=bankofcana","7200","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31009","COURSE","CFP Research in Currency / PFM Formation : La recherche dans la monnaie","Currency Foundations Program Course 3. We undertake a broad spectrum of research to inform the department’s strategic direction. Research topics include bank note security features and design, the use of cash and payment methods, and the future of bank notes including the potential of a central bank digital currency.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31009%26componentTypeID%3dCOURSE%26revisionDate%3d1542131501000%26fromSF%3dY&company=bankofcana","5400","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31010","COURSE","CFP Course 4: Bank Note Distribution and Agency Operation Centres (AOCs) / PFM Formation 4: Le Système de distribution des billets de banque et les centres des opérations des agences","Currency Foundations Program course 4. The Bank oversees the complex distribution system that ensures Canadians have ready access to bank notes. The Bank’s operations are a key component in the flow of cash across the country.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31010%26componentTypeID%3dCOURSE%26revisionDate%3d1542131918000%26fromSF%3dY&company=bankofcana","5400","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31011","COURSE","CFP Course 5: Bank Note Quality Management / PFM Formation 5: Gestion de la qualité des billets de banque","We manage the supply chain to ensure all new notes procured by the Bank meet our high standards for quality. We also ensure that fit notes in circulation continue to be of high quality. Key elements of our quality regime include Single Note Inspection, the Quality Assurance Lab, the Agency Operations Centres and a bank note redemption service.

Presented by VSM, QM (QA Lab), QM (AOCs)","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31011%26componentTypeID%3dCOURSE%26revisionDate%3d1542132491000%26fromSF%3dY&company=bankofcana","5400","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
"31012","COURSE","CFP Course 6: Stakeholder Engagement and Public Consultation / PFM Formation 6: Consultation et Collaboration","We consult regularly with stakeholders in retail, banking and the public at large to provide valuable information on topics such as how cash is being used and the visual content of future bank notes. To deter counterfeiting, we collaborate with law enforcement agencies and the judiciary and conduct educational activities to increase the routine verification of bank notes by retailers and the public. We work with domestic partners (CNIB, CBN, etc.) and participate in international working groups (Four Nations, DMST, PACRIM, etc.) and collaborate with other organizations to pool knowledge, exchange best practices and more.","https://hcm17.sapsf.com/sf/learning?destUrl=https%3a%2f%2fbankofcan%2eplateau%2ecom%2flearning%2fuser%2fdeeplink%5fredirect%2ejsp%3flinkId%3dITEM%5fDETAILS%26componentID%3d31012%26componentTypeID%3dCOURSE%26revisionDate%3d1542132782000%26fromSF%3dY&company=bankofcana","5400","Bank of Canada/Banque du Canada","","","https://www.bankofcanadamuseum.ca/wp-content/themes/museum-build/img/boc-logo-en.png"
